correlation,k1,k2,top_X_percent,probability
-0.1,350,3,0.03,0.9805
-0.1,350,3,0.04,0.9981
-0.1,350,3,0.05,0.9997
-0.1,350,3,0.060000000000000005,1.0
-0.1,350,3,0.06999999999999999,1.0
-0.1,350,3,0.08,1.0
-0.1,350,3,0.09,1.0
-0.1,350,3,0.09999999999999999,1.0
-0.1,350,3,0.11,1.0
-0.1,350,3,0.12,1.0
-0.1,350,3,0.13,1.0
-0.1,350,3,0.14,1.0
-0.1,350,4,0.01,0.1581
-0.1,350,4,0.02,0.7
-0.1,350,4,0.03,0.9413
-0.1,350,4,0.04,0.9928
-0.1,350,4,0.05,0.9986
-0.1,350,4,0.060000000000000005,1.0
-0.1,350,4,0.06999999999999999,1.0
-0.1,350,4,0.08,1.0
-0.1,350,4,0.09,1.0
-0.1,350,4,0.09999999999999999,1.0
-0.1,350,4,0.11,1.0
-0.1,350,4,0.12,1.0
-0.1,350,4,0.13,1.0
-0.1,350,4,0.14,1.0
-0.1,350,5,0.01,0.0516
-0.1,350,5,0.02,0.501
-0.1,350,5,0.03,0.8574
-0.1,350,5,0.04,0.9778
-0.1,350,5,0.05,0.996
-0.1,350,5,0.060000000000000005,0.9995
-0.1,350,5,0.06999999999999999,1.0
-0.1,350,5,0.08,1.0
-0.1,350,5,0.09,1.0
-0.1,350,5,0.09999999999999999,1.0
-0.1,350,5,0.11,1.0
-0.1,350,5,0.12,1.0
-0.1,350,5,0.13,1.0
-0.1,350,5,0.14,1.0
-0.1,350,6,0.01,0.0156
-0.1,350,6,0.02,0.3163
-0.1,350,6,0.03,0.7376
-0.1,350,6,0.04,0.9441
-0.1,350,6,0.05,0.9891
-0.1,350,6,0.060000000000000005,0.9988
-0.1,350,6,0.06999999999999999,0.9998
-0.1,350,6,0.08,1.0
-0.1,350,6,0.09,1.0
-0.1,350,6,0.09999999999999999,1.0
-0.1,350,6,0.11,1.0
-0.1,350,6,0.12,1.0
-0.1,350,6,0.13,1.0
-0.1,350,6,0.14,1.0
-0.1,350,7,0.01,0.003
-0.1,350,7,0.02,0.1735
-0.1,350,7,0.03,0.5853
-0.1,350,7,0.04,0.8841
-0.1,350,7,0.05,0.9752
-0.1,350,7,0.060000000000000005,0.997
-0.1,350,7,0.06999999999999999,0.9996
-0.1,350,7,0.08,1.0
-0.1,350,7,0.09,1.0
-0.1,350,7,0.09999999999999999,1.0
-0.1,350,7,0.11,1.0
-0.1,350,7,0.12,1.0
-0.1,350,7,0.13,1.0
-0.1,350,7,0.14,1.0
-0.1,350,8,0.01,0.0001
-0.1,350,8,0.02,0.0822
-0.1,350,8,0.03,0.4223
-0.1,350,8,0.04,0.7904
-0.1,350,8,0.05,0.9474
-0.1,350,8,0.060000000000000005,0.9918
-0.1,350,8,0.06999999999999999,0.9992
-0.1,350,8,0.08,0.9997
-0.1,350,8,0.09,1.0
-0.1,350,8,0.09999999999999999,1.0
-0.1,350,8,0.11,1.0
-0.1,350,8,0.12,1.0
-0.1,350,8,0.13,1.0
-0.1,350,8,0.14,1.0
-0.1,400,3,0.01,0.4695
-0.1,400,3,0.02,0.9221
-0.1,400,3,0.03,0.9936
-0.1,400,3,0.04,0.9994
-0.1,400,3,0.05,1.0
-0.1,400,3,0.060000000000000005,1.0
-0.1,400,3,0.06999999999999999,1.0
-0.1,400,3,0.08,1.0
-0.1,400,3,0.09,1.0
-0.1,400,3,0.09999999999999999,1.0
-0.1,400,3,0.11,1.0
-0.1,400,3,0.12,1.0
-0.1,400,3,0.13,1.0
-0.1,400,3,0.14,1.0
-0.1,400,4,0.01,0.2355
-0.1,400,4,0.02,0.8147
-0.1,400,4,0.03,0.9764
-0.1,400,4,0.04,0.9983
-0.1,400,4,0.05,0.9997
-0.1,400,4,0.060000000000000005,1.0
-0.1,400,4,0.06999999999999999,1.0
-0.1,400,4,0.08,1.0
-0.1,400,4,0.09,1.0
