correlation,k1,k2,top_X_percent,probability
0.0,450,2,0.01,0.9564
0.0,450,2,0.02,0.9998
0.0,450,2,0.03,1.0
0.0,450,2,0.04,1.0
0.0,450,2,0.05,1.0
0.0,450,2,0.060000000000000005,1.0
0.0,450,2,0.06999999999999999,1.0
0.0,450,2,0.08,1.0
0.0,450,2,0.09,1.0
0.0,450,2,0.09999999999999999,1.0
0.0,450,3,0.01,0.8515
0.0,450,3,0.02,0.9974
0.0,450,3,0.03,1.0
0.0,450,3,0.04,1.0
0.0,450,3,0.05,1.0
0.0,450,3,0.060000000000000005,1.0
0.0,450,3,0.06999999999999999,1.0
0.0,450,3,0.08,1.0
0.0,450,3,0.09,1.0
0.0,450,3,0.09999999999999999,1.0
0.0,450,4,0.01,0.6662
0.0,450,4,0.02,0.9897
0.0,450,4,0.03,0.9999
0.0,450,4,0.04,1.0
0.0,450,4,0.05,1.0
0.0,450,4,0.060000000000000005,1.0
0.0,450,4,0.06999999999999999,1.0
0.0,450,4,0.08,1.0
0.0,450,4,0.09,1.0
0.0,450,4,0.09999999999999999,1.0
0.0,450,5,0.01,0.4406
0.0,450,5,0.02,0.9642
0.0,450,5,0.03,0.999
0.0,450,5,0.04,1.0
0.0,450,5,0.05,1.0
0.0,450,5,0.060000000000000005,1.0
0.0,450,5,0.06999999999999999,1.0
0.0,450,5,0.08,1.0
0.0,450,5,0.09,1.0
0.0,450,5,0.09999999999999999,1.0
0.0,450,6,0.01,0.2437
0.0,450,6,0.02,0.9187
0.0,450,6,0.03,0.9969
0.0,450,6,0.04,1.0
0.0,450,6,0.05,1.0
0.0,450,6,0.060000000000000005,1.0
0.0,450,6,0.06999999999999999,1.0
0.0,450,6,0.08,1.0
0.0,450,6,0.09,1.0
0.0,450,6,0.09999999999999999,1.0
0.0,550,1,0.01,0.9984
0.0,550,1,0.02,1.0
0.0,550,1,0.03,1.0
0.0,550,1,0.04,1.0
0.0,550,1,0.05,1.0
0.0,550,1,0.060000000000000005,1.0
0.0,550,1,0.06999999999999999,1.0
0.0,550,1,0.08,1.0
0.0,550,1,0.09,1.0
0.0,550,1,0.09999999999999999,1.0
0.0,550,2,0.01,0.986
0.0,550,2,0.02,1.0
0.0,550,2,0.03,1.0
0.0,550,2,0.04,1.0
0.0,550,2,0.05,1.0
0.0,550,2,0.060000000000000005,1.0
0.0,550,2,0.06999999999999999,1.0
0.0,550,2,0.08,1.0
0.0,550,2,0.09,1.0
0.0,550,2,0.09999999999999999,1.0
0.0,550,3,0.01,0.9358
0.0,550,3,0.02,0.9997
0.0,550,3,0.03,1.0
0.0,550,3,0.04,1.0
0.0,550,3,0.05,1.0
0.0,550,3,0.060000000000000005,1.0
0.0,550,3,0.06999999999999999,1.0
0.0,550,3,0.08,1.0
0.0,550,3,0.09,1.0
0.0,550,3,0.09999999999999999,1.0
0.0,550,4,0.01,0.8242
0.0,550,4,0.02,0.9987
0.0,550,4,0.03,1.0
0.0,550,4,0.04,1.0
0.0,550,4,0.05,1.0
0.0,550,4,0.060000000000000005,1.0
0.0,550,4,0.06999999999999999,1.0
0.0,550,4,0.08,1.0
0.0,550,4,0.09,1.0
0.0,550,4,0.09999999999999999,1.0
0.0,550,5,0.01,0.6485
0.0,550,5,0.02,0.9941
0.0,550,5,0.03,1.0
0.0,550,5,0.04,1.0
0.0,550,5,0.05,1.0
0.0,550,5,0.060000000000000005,1.0
0.0,550,5,0.06999999999999999,1.0
0.0,550,5,0.08,1.0
0.0,550,5,0.09,1.0
0.0,550,5,0.09999999999999999,1.0
0.0,550,6,0.01,0.4522
0.0,550,6,0.02,0.9831
0.0,550,6,0.03,0.9998
0.0,550,6,0.04,1.0
0.0,550,6,0.05,1.0
0.0,550,6,0.060000000000000005,1.0
0.0,550,6,0.06999999999999999,1.0
0.0,550,6,0.08,1.0
0.0,550,6,0.09,1.0
0.0,550,6,0.09999999999999999,1.0
0.1,50,1,0.01,0.5954
0.1,50,1,0.02,0.8198
0.1,50,1,0.03,0.9131
0.1,50,1,0.04,0.9623
0.1,50,1,0.05,0.9825
0.1,50,1,0.060000000000000005,0.9919
0.1,50,1,0.06999999999999999,0.9961
0.1,50,1,0.08,0.9976
0.1,50,1,0.09,0.9989
0.1,50,1,0.09999999999999999,0.9993
0.1,50,2,0.01,0.2158
0.1,50,2,0.02,0.5054
0.1,50,2,0.03,0.6999
0.1,50,2,0.04,0.8294
0.1,50,2,0.05,0.9036
0.1,50,2,0.060000000000000005,0.9456
0.1,50,2,0.06999999999999999,0.9741
